name,brand,category,price,region,tags,rating,stock,description,image_url,mode
boAt Airdopes 141,boAt,Audio,1299,India,"wireless,earbuds,audio",4.2,150,"True wireless earbuds with long battery life.","https://www.boat-lifestyle.com/cdn/shop/files/AD141-FI_Black01_600x.png?v=1698391770",gaming
boAt Rockerz 255 Pro+,boAt,Audio,1799,India,"wireless,earphones,music",4.4,120,"Bluetooth earphones with extra bass.","https://www.boat-lifestyle.com/cdn/shop/files/R255Pro_-FI_Black01_1300x.png?v=1713177293",gaming
boAt Rockerz 370 Pro,boAt,Audio,1299,India,"headphones,wireless,audio",4.1,100,"Wireless over-ear headphones with clear sound.","https://www.boat-lifestyle.com/cdn/shop/files/ROCKERZ_370_PRO_PP.74_800x.png?v=1724993630",gaming
boAt Immortal 131,boAt,Gaming Accessories,1999,India,"gaming,earbuds,RGB",4.3,80,"Gaming TWS earbuds with RGB lights.","https://www.boat-lifestyle.com/cdn/shop/files/Artboard1copy_800x.png?v=1712639870",gaming
boAt BassHeads 110,boAt,Audio,499,India,"wired,earphones,bass",4.0,200,"Wired earphones with powerful bass.","https://www.boat-lifestyle.com/cdn/shop/products/bassheads-110-white_600x.png?v=1613457275",gaming
House of Bruar Apparel 2,House of Bruar,Clothing,2200,India,"apparel,shirt,houseofbruar",4.0,60,"House of Bruar apparel — design 2","https://media.houseofbruar.com/www/images/products/medium/TN08251CARANATIONPLAIN.jpg",fashion
House of Bruar Apparel 3,House of Bruar,Clothing,2300,India,"apparel,shirt,houseofbruar",4.0,55,"House of Bruar apparel — design 3","https://media.houseofbruar.com/www/images/products/medium/TP10208ANTBLUEGREEN.jpg",fashion
House of Bruar Apparel 4,House of Bruar,Clothing,2100,India,"apparel,shirt,houseofbruar",4.2,45,"House of Bruar apparel — design 4","https://media.houseofbruar.com/www/images/products/medium/TS12327ANCBLACKWATCH.jpg",fashion
House of Bruar Apparel 5,House of Bruar,Clothing,2150,India,"apparel,shirt,houseofbruar",4.1,50,"House of Bruar apparel — design 5","https://media.houseofbruar.com/www/images/products/medium/TP23009BLACKWATCH.jpg",fashion
Raymond Shirt 1,Raymond,Clothing,1800,India,"shirt,raymond,apparel",4.0,70,"Raymond shirt design 1","https://myraymond.com/cdn/shop/files/RMTS05219-O8-2.jpg",fashion
Raymond Shirt 2,Raymond,Clothing,1900,India,"shirt,raymond,apparel",4.1,65,"Raymond shirt design 2","https://myraymond.com/cdn/shop/files/RCKD01231-B6-1.jpg",fashion
Raymond Shirt 3,Raymond,Clothing,2000,India,"shirt,raymond,apparel",4.0,60,"Raymond shirt design 3","https://myraymond.com/cdn/shop/files/CMSS30197-B6-6.jpg",fashion
Lenskart Glasses Kids Blue‑Block,Lenskart,Eyewear,1200,India,"eyewear,glasses,lenskart",4.3,80,"Lenskart kids blue‑block glasses","https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/480x480/9df78eab33525d08d6e5fb8d27136e95//l/i/alaya-:-gold-tortoise-full-rim-cat-eye-lenskart-air-fusion-la-e11824-c2-eyeglasses_left-1",fashion
John Jacobs Sunglasses,John Jacobs,Eyewear,1600,India,"sunglasses,eyewear,johnjacobs",4.2,75,"Gunmetal Blue John Jacobs sunglasses","https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/480x480/9df78eab33525d08d6e5fb8d27136e95//j/i/Gunmetal-Blue-Square-John-Jacobs-JJ-Tints-JJ-S14446-C4-Sunglasses_G_1069.jpg",fashion
John Jacobs Eyeglasses,John Jacobs,Eyewear,1500,India,"eyeglasses,johnjacobs",4.1,70,"John Jacobs eyeglasses model","https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/480x480/9df78eab33525d08d6e5fb8d27136e95//j/i/john-jacobs-jj-e16116-c2-eyeglasses_g_8778_19_10_2023.jpg",fashion
Vincent Chase Eyewear,Vincent Chase,Eyewear,1700,India,"eyewear,vincentchase",4.0,65,"Sleek steel Vincent Chase eyeglasses","https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/480x480/9df78eab33525d08d6e5fb8d27136e95//v/i/copper-brown-full-rim-round-vincent-chase-sleek-steel-vc-e15069-c2-eyeglasses_g_3676_10_14_22.jpg",fashion
